발명의명칭,출원인,출원일자,심사진행상태
LED 조명용 전원 장치(POWER APPARATUS FOR LED LIGHTING),엘지이노텍 주식회사(서울특별시 강서구...),2016.01.21,
LED TV용 전원장치의 스탠바이 전원회로(Stand-by power circuit in a power supply for a LED television),엘지이노텍 주식회사(서울특별시 강서구...),2010.05.28,등록결정(일반)
LED 구동 회로(LED DRVING CIRCUIT),엘지이노텍 주식회사(서울특별시 강서구...),2009.08.28,등록결정(일반)
LCD 패널용 LED 드라이버의 OVP 검출회로(circuit for detecting OVP of LED driver for LCD panel),엘지이노텍 주식회사(서울특별시 강서구...),2006.04.17,등록결정(일반)
LED 구동 회로(LED DRIVING CIRCUIT),엘지이노텍 주식회사(서울특별시 강서구...),2009.08.28,등록결정(일반)
LED 표시장치(Light emitting diode(LED) display device),엘지디스플레이 주식회사(서울특별시 영등포구...),2019.07.24,
LED 프로젝터 및 LED 제어 방법(LED projector and method of controlling LED),엘지전자 주식회사(서울특별시 영등포구...),2009.09.07,등록결정(일반)
에칭에 의해 형성된 캐비티를 포함하는 LED 패키지 및 그 제조 방법(LED PACKAGE COMPRISING CAVITY FORMED BY ETCHING AND MANUFACTURING METHOD OF THE SAME),엘지이노텍 주식회사(서울특별시 강서구...),2010.08.19,등록결정(재심사후)
LED 램프와 이를 구비한 백라이트 유닛(LED lamp and backlight unit having the same),엘지디스플레이 주식회사(서울특별시 영등포구...),2007.03.30,등록결정(일반)
LED 구동 회로(LED Driving Circuit),엘지이노텍 주식회사(서울특별시 강서구...),2009.09.08,등록결정(일반)
LED 구동회로(LED DRIVING CIRCUIT),엘지이노텍 주식회사(서울특별시 강서구...),2009.05.07,등록결정(일반)
LED 백라이트를 사용하는 액정표시소자의가요성인쇄회로기판의 구조(STRUCTURE OF FLEXIBLE PRINTED CIRCUIT OF LIQUID CRYSTALDISPLAY DEVICE USING LED BACK LIGHT),엘지디스플레이 주식회사(서울특별시 영등포구...),2005.10.11,등록결정(일반)
휘도 조절 렌즈 및 이를 이용하는 LED 패키지(LENS FOR ADJUSTING BRIGHTNESS AND LED PACKAGE USING THESAME),엘지전자 주식회사(서울특별시 영등포구...),2006.04.28,등록결정(일반)
