발명의명칭,출원인,출원일자,심사진행상태
상변화 기억 소자(Phase change RAM device),에스케이하이닉스 주식회사(경기도 이천시...),2007.05.11,등록결정(일반)
피엔피-바이폴라 트랜지스터를 이용한 상변화 기억 소자 및그의 제조방법(Phase change RAM device using pnp-BJT and method of manufacturing the same),에스케이하이닉스 주식회사(경기도 이천시...),2007.05.11,취하(심사미청구)
피엔 다이오드를 이용한 상변화 기억 소자의 제조방법(Method of manufacturing phase change RAM device using PN diode),에스케이하이닉스 주식회사(경기도 이천시...),2007.05.11,거절결정(일반)
상변환 기억 소자 및 그 제조방법(Phase change RAM device and method of manufacturing the same),에스케이하이닉스 주식회사(경기도 이천시...),2007.03.30,취하(심사미청구)
상변환 기억 소자 및 그 제조방법(Phase change RAM device and method of manufacturing the same),에스케이하이닉스 주식회사(경기도 이천시...),2007.03.30,등록결정(심사전치후)
상변환 기억 소자 및 그의 제조방법(Phase change RAM device and method of manufacturing the same),에스케이하이닉스 주식회사(경기도 이천시...),2006.12.27,등록결정(일반)
상변환 기억 소자의 프로그래밍 방법(Programming of method phase change RAM device),에스케이하이닉스 주식회사(경기도 이천시...),2006.12.27,거절결정(일반)
상변환 기억 소자 및 그의 제조방법(Phase change RAM device and method of manufacturing the same),에스케이하이닉스 주식회사(경기도 이천시...),2006.12.01,취하(심사미청구)
상변환 기억 소자의 트랜지스터 및 그의 제조방법(Transistor of phase change RAM device and method of manufacturing the same),에스케이하이닉스 주식회사(경기도 이천시...),2006.12.01,등록결정(일반)
상변환 기억 소자의 제조방법(Method of manufacturing Phase change RAM device),에스케이하이닉스 주식회사(경기도 이천시...),2006.12.01,거절결정(일반)
상변환 기억 소자 및 그의 제조방법(Phase change RAM device and method of manufacturing the same),에스케이하이닉스 주식회사(경기도 이천시...),2006.11.16,등록결정(일반)
상변환 기억 소자 및 그의 제조방법(Phase change RAM device and method of manufacturing thesame),에스케이하이닉스 주식회사(경기도 이천시...),2006.10.31,등록결정(일반)
