발명의명칭,출원인,출원일자,심사진행상태
복합층 구조의 차광층을 구비한 산화물 반도체를 포함하는 박막 트랜지스터 기판(Oxide Semiconductor Thin Film Transistor Substrate Having Complex Structure Light Shield Layer),엘지디스플레이 주식회사(서울특별시 영등포구...),2014.12.02,등록결정(일반)
박막트랜지스터 어레이 기판 및 그의 제조방법(THIN FILM TRANSISTOR ARRAY SUBSTRATE AND METHOD FOR MANUFACTURING THE SAME),엘지디스플레이 주식회사(서울특별시 영등포구...),2013.01.30,등록결정(일반)
"구동 트랜지스터와 이를 구비한 유기 발광 다이오드 표시 장치 및 그들의 제조 방법(driving transistor and Organic light emitting diode display device having the driving transistor, and Method for manufacturing the same)",엘지디스플레이 주식회사(서울특별시 영등포구...),2016.08.31,
박막 트랜지스터 어레이 기판 및 이를 포함하는 전자장치(THIN FILM TRANSISTOR ARRAY SUBSTRATE AND ELECTRONIC DEVICE INCLUDING THE SAME),엘지디스플레이 주식회사(서울특별시 영등포구...),2019.12.26,
트랜지스터 어레이 및 이를 이용한 표시장치(Transistor array and Display Device),엘지디스플레이 주식회사(서울특별시 영등포구...),2017.07.07,등록결정(일반)
산화물 박막 트랜지스터와 그를 포함하는 표시 장치 및 그 제조방법(DISPLAY DEVICE INCLUDING OXIDE THIN FILM TRANSISTOR AND METHOD FOR MANUFACTURING THE SAME),엘지디스플레이 주식회사(서울특별시 영등포구...),2015.12.31,등록결정(일반)
박막 트랜지스터 및 이를 포함하는 표시장치(THIN FILM TRANSISTOR AND DISPLAY APPARATUS COMPRISING THE SAME),엘지디스플레이 주식회사(서울특별시 영등포구...),2019.12.31,
"박막트랜지스터, 그를 갖는 표시장치, 및 박막트랜지스터의 제조방법(THIN FILM TRANSISTOR, DISPLAY WITH THE SAME, AND METHOD OF FABRICATING THE SAME)",엘지디스플레이 주식회사(서울특별시 영등포구...),2015.12.31,등록결정(일반)
박막 트랜지스터 기판(Thin Film Transistor Substrate),엘지디스플레이 주식회사(서울특별시 영등포구...),2015.10.27,등록결정(일반)
"박막 트랜지스터 및 그 제조방법과 그를 구비한 표시장치(THIN FILM TRANSISTOR AND METHOD OF THE SAME, AND DISPLAY DIVICE HAVING THE SAME)",엘지디스플레이 주식회사(서울특별시 영등포구...),2015.12.07,
"트랜지스터, 전자장치 및 트랜지스터 회로(TRANSISTOR, ELECTRONIC DEVICE AND TRANSISTOR CIRCUIT)",엘지디스플레이 주식회사(서울특별시 영등포구...)|연세대학교 산학협력단(서울특별시 서대문구...),2018.11.07,
박막 트랜지스터 및 박막 트랜지스터를 포함하는 표시장치(THIN FILM TRANSISTORS AND DISPLAY APPARATUS COMPRISING THIN FILM TRANSISTOR),엘지디스플레이 주식회사(서울특별시 영등포구...)|연세대학교 산학협력단(서울특별시 서대문구...),2020.08.10,
고신뢰성 금속 산화물 반도체 물질을 포함하는 박막 트랜지스터 기판(Thin Film Transistor Substrate Having High Reliability Metal Oxide Semiconductor Material),엘지디스플레이 주식회사(서울특별시 영등포구...)|연세대학교 산학협력단(서울특별시 서대문구...),2015.05.22,거절결정(재심사)
유기 박막 트랜지스터 및 그 제조 방법(Organic Thin Film Transistor and Method For Fabricating the Same),엘지디스플레이 주식회사(서울특별시 영등포구...)|연세대학교 산학협력단(서울특별시 서대문구...),2007.08.20,등록결정(일반)
박막 트랜지스터 및 이를 이용한 표시패널(THIN FILM TRANSISTOR AND DISPLAY PANEL USING THE SAME),엘지디스플레이 주식회사(서울특별시 영등포구...),2018.12.20,
산화물 반도체층 및 실리콘 반도체층을 포함하는 박막 트랜지스터 및 이를 포함하는 표시장치(THIN FILM TRANSISTOR COMPRISING OXIDE SEMICONDUCTOR LAYER AND SILICON SEMICONDUCTOR LAYER AND DISPLAY APPARATUS COMPRISING THE SAME),엘지디스플레이 주식회사(서울특별시 영등포구...),2019.12.26,
박막 트랜지스터 어레이 기판 및 이를 포함하는 전자장치(THIN FILM TRANSISTOR ARRAY SUBSTRATE AND ELECTRONIC DEVICE INCLUDING THE SAME),엘지디스플레이 주식회사(서울특별시 영등포구...),2019.12.16,
서로 다른 타입의 박막 트랜지스터들을 포함하는 표시장치 및 그 제조방법(DISPLAY APPARATUS COMPRISING DIFFERENT TYPES OF THIN FILM TRANSISTORS AND MEHTHOD FOR MANUFACTURING THE SAME),엘지디스플레이 주식회사(서울특별시 영등포구...),2019.12.24,
박막 트랜지스터 어레이 기판 및 이를 포함하는 전자장치(THIN FILM TRANSISTOR ARRAY SUBSTRATE AND ELECTRONIC DEVICE INCLUDING THE SAME),엘지디스플레이 주식회사(서울특별시 영등포구...),2019.12.20,
버텀 게이트형 폴리 실리콘 박막트랜지스터 소자의 제조방법(A Method for manufacturing of Bottom Gate type p-SiThin Film Transistor Device),엘지디스플레이 주식회사(서울특별시 영등포구...),2003.06.25,등록결정(일반)
"박막 트랜지스터 어레이 기판과 이를 이용한 표시장치(THIN FILM TRANSISTOR ARRAY SUBSTRATE, AND DISPLAY DEVICE INCLUDING THE SAME)",엘지디스플레이 주식회사(서울특별시 영등포구...),2016.11.30,등록결정(일반)
산화물 반도체를 이용한 박막트랜지스터 기판의 제조방법(Method of fabricating the thin film transistor substrate using a oxidized semiconductor),엘지디스플레이 주식회사(서울특별시 영등포구...),2010.06.11,등록결정(일반)
박막 트랜지스터 및 박막 트랜지스터 제조 방법(THIN FILM TRANSISTOR AND MANUFACTURING METHOD FOR THE SAME),엘지디스플레이 주식회사(서울특별시 영등포구...),2014.04.17,취하(심사미청구)
