발명의명칭,출원인,출원일자,심사진행상태
안전밸브 개선을 통한 밀폐형 납축 전지의 수명향상방법(METHOD FOR LENGTHENING LIFE TIME OF SEALED TYPE LEAD ACID BATTERY BY REFORMATION OF SAFETY VALVE),에스케이하이닉스 주식회사(경기도 이천시...),1995.12.29,등록결정(일반)
리드 프레임 및 그 제조방법(LEAD FRAME AND MANUFACTURING METHOD THEREOF),에스케이하이닉스 주식회사(경기도 이천시...),1995.12.14,등록결정(일반)
납전지의페이스트교반장치(PASTE STIRRING APPARATUS OF LEAD BATTERY),에스케이하이닉스 주식회사(경기도 이천시...),1995.03.24,등록결정(일반)
반도체패키지용리드프레임(LEAD FRAME FOR SEMICONDUCTOR PACKAGE),에스케이하이닉스 주식회사(경기도 이천시...),1994.10.05,등록결정(일반)
병렬식리딩-원검출장치(PARALLEL LEADING-WON DETECTOR),에스케이하이닉스 주식회사(경기도 이천시...),1994.06.21,등록결정(일반)
리드온칩및칩온리드반도체장치(LEAD ON CHIP AND CHIP ON LEAD SEMICONDUCTOR DEVICE),에스케이하이닉스 주식회사(경기도 이천시...),1994.03.08,등록결정(일반)
볼그리드어레이리드프레임(BALL GRID ARRAY LEAD FRAME),에스케이하이닉스 주식회사(경기도 이천시...),1994.02.04,등록결정(일반)
집적회로의리드검사방법및그장치(LEAD TEST METHOD AND ITS APPARATUS OF INTEGRATED CIRCUIT),에스케이하이닉스 주식회사(경기도 이천시...),1993.05.01,등록결정(일반)
LOC패캐이지(LEAD ON CHIP),에스케이하이닉스 주식회사(경기도 이천시...),1991.11.05,등록결정(일반)
리드프레임절단및삽입시스템용제어회로(CONTROL CIRCUIT FOR CUTTING AND INSERTING SYSTEM OF LEAD-FRAME),에스케이하이닉스 주식회사(경기도 이천시...),1991.05.02,등록결정(일반)
반도체소자의다층배선제조방법(HEAT TREATING METHOD FOR LEAD FRAME),에스케이하이닉스 주식회사(경기도 이천시...),1990.11.23,거절결정(일반)
리드프레임열처리방법(HEAT-TREATMENT METHOD OF LEAD FRAME),에스케이하이닉스 주식회사(경기도 이천시...),1990.11.23,등록결정(일반)
IC리드의불량체크씨스템(I.C. LEAD ERROR CHECK SYSTEM),에스케이하이닉스 주식회사(경기도 이천시...),1990.10.20,등록결정(일반)
반도체리드프레임로우더용헤드유니트(SEMICONDUCTOR LEAD FRAME LOADER HEAD UNIT),에스케이하이닉스 주식회사(경기도 이천시...),1990.10.20,등록결정(일반)
반도체부품용리드프레임패드(LEAD FRAME PAD FOR SEMICONDUCTOR DEVICE),에스케이하이닉스 주식회사(경기도 이천시...),1989.11.24,등록결정(일반)
